"indicator_name","profile","domain","indicator_definition","data_source","inclusion_rationale","diagnostic_code_position","numerator","denominator","type_definition","type_id","disclosure_control","supression","supress_less_than","rounding","age_group","sex","year_type","trends_from","aggregation","update_frequency","available_geographies","confidence_interval_method","notes_caveats","related_publications","supporting_information","last_updated","next_update","interpretation","interpret","source_details","scotpho_profiles","profile_domain1","profile_domain2","profile_domain3","label_inequality","pop_group_splits","profile_domain","scotpho_web_link"
"Alcohol consumption: Hazardous/harmful drinking (consumption over 14 units per week)",NA,NA,"Percentage of survey respondents drinking over 14 units of alcohol per week ","Scottish Health Survey",NA,"N/A","Survey respondents reporting drinking over 14 units of alcohol per week (A unit of alcohol is 8 gms or 10ml of ethanol (pure alcohol). ",NA,"Percentage","%",NA,"N",0,NA,"16+","All, Male, Female","Survey years","2008-2023","4 year aggregate (SIMD based deprivation data annual but for Scotland level only)","Annual","Scotland, NHS Board, Council area",NA,"2020 survey impacted by COVID and data for this year excluded",NA,NA,"Feb-2025","Feb-2026","Higher numbers are worse","L","Scottish Health Survey (PHS analysis of data from UK Data Service)",NA,"ALC-Health",NA,NA,"Adults","Y","ALC-Health;","[Alcohol section](https://www.scotpho.org.uk/risk-factors/alcohol/introduction/)"
"Alcohol consumption: average weekly units",NA,NA,"Alcohol consumption (mean weekly units). A unit of alcohol is 8 gms or 10ml of ethanol (pure alcohol).","Scottish Health Survey",NA,"N/A","Mean units of alcohol consumed per week (in survey respondents who reported alcohol consumption in the past year)",NA,"Mean","Mean",NA,"N",0,NA,"16+","All, Male, Female","Survey years","2008-2023","4 year aggregate (SIMD based deprivation data annual but for Scotland level only)","Annual","Scotland, NHS Board, Council area",NA,"2020 survey impacted by COVID and data for this year excluded",NA,NA,"Feb-2025","Feb-2026","Higher numbers are worse","L","Scottish Health Survey (PHS analysis of data from UK Data Service)",NA,"ALC-Prevalence",NA,NA,"Adults","Y","ALC-Prevalence","[Alcohol section](https://www.scotpho.org.uk/risk-factors/alcohol/introduction/)"
"Smoking prevalence, aged 16+ years",NA,NA,"Percentage of adults aged 16 and over in the Scottish Health Survey dataset who are 'Current Smokers'","Scottish Health Survey (SHeS)",NA,"N/A",NA,NA,"Percentage","%","None","N",0,"None","16+","All","Year","2012-15 to 2019-23","Aggregate years","Annual","Council area, Health board, Scotland","Wilson's Score method",NA,NA,NA,"Feb-2025","Feb-2026","Higher numbers are worse","L","Scottish Health Survey (SHeS)",2,NA,NA,NA,"Adults",NA,"TOB-Adult prevalence;CWB-Impact of ill health prevention",NA
"Smoking prevalence, aged 16-34 years",NA,NA,"Percentage of adults aged between 16 and 34 and over in the Scottish Health Survey dataset who are 'Current Smokers'","Scottish Health Survey (SHeS)",NA,"N/A",NA,NA,"Percentage","%","None","N",0,"None","16-34","All","Year","2012-15 to 2019-23","Aggregate years","Annual","Council area, Health board, Scotland","Wilson's Score method",NA,NA,NA,"Feb-2025","Feb-2026","Higher numbers are worse","L","Scottish Health Survey (SHeS)",1,NA,NA,NA,NA,NA,"TOB-Adult prevalence;",NA
"Smoking prevalence, aged 16-64 years",NA,NA,"Percentage of adults aged between 16 and 64 in the Scottish Health Survey dataset who are 'Current Smokers'","Scottish Health Survey (SHeS)",NA,"N/A",NA,NA,"Percentage","%","None","N",0,"None","16-64","All","Year","2012-15 to 2019-23","Aggregate years","Annual","Council area, Health board, Scotland","Wilson's Score method",NA,NA,NA,"Feb-2025","Feb-2026","Higher numbers are worse","L","Scottish Health Survey (SHeS)",1,NA,NA,NA,NA,NA,"TOB-Adult prevalence;",NA
"Smoking prevalence, aged adults 65+ years",NA,NA,"Percentage of adults aged 65 and over in the Scottish Health Survey dataset who are 'Current Smokers'","Scottish Health Survey (SHeS)",NA,"N/A",NA,NA,"Percentage","%","None","N",0,"None","65+","All","Year","2012-15 to 2019-23","Aggregate years","Annual","Council area, Health board, Scotland","Wilson's Score method",NA,NA,NA,"Feb-2025","Feb-2026","Higher numbers are worse","L","Scottish Health Survey (SHeS)",1,NA,NA,NA,NA,NA,"TOB-Adult prevalence;",NA
"Smoking prevalence, aged adults 35-64 years",NA,NA,"Percentage of adults aged between 35 and 64 and over in the Scottish Health Survey dataset who are 'Current Smokers'","Scottish Health Survey (SHeS)",NA,"N/A",NA,NA,"Percentage","%","None","N",0,"None","35-64","All","Year","2012-15 to 2019-23","Aggregate years","Annual","Council area, Health board, Scotland","Wilson's Score method",NA,NA,NA,"Feb-2025","Feb-2026","Higher numbers are worse","L","Scottish Health Survey (SHeS)",1,NA,NA,NA,NA,NA,"TOB-Adult prevalence;",NA
"Smoking prevalence, men aged 16+ years",NA,NA,"Percentage of males aged 16 and over in the Scottish Health Survey dataset who are 'Current Smokers'","Scottish Health Survey (SHeS)",NA,"N/A",NA,NA,"Percentage","%","None","N",0,"None","16+","Male","Year","2012-15 to 2019-23","Aggregate years","Annual","Council area, Health board, Scotland","Wilson's Score method",NA,NA,NA,"Feb-2025","Feb-2026","Higher numbers are worse","L","Scottish Health Survey (SHeS)",1,NA,NA,NA,NA,NA,"TOB-Adult prevalence;",NA
"Smoking prevalence, women aged 16+ years",NA,NA,"Percentage of females aged 16 and over in the Scottish Health Survey dataset who are 'Current Smokers'","Scottish Health Survey (SHeS)",NA,"N/A",NA,NA,"Percentage","%","None","N",0,"None","16+","Female","Year","2012-15 to 2019-23","Aggregate years","Annual","Council area, Health board, Scotland","Wilson's Score method",NA,NA,NA,"Feb-2025","Feb-2026","Higher numbers are worse","L","Scottish Health Survey (SHeS)",1,NA,NA,NA,NA,NA,"TOB-Adult prevalence;",NA
"Disability pay gap",NA,NA," Median hourly pay of non-disabled employees minus median hourly pay of disabled employees expressed as a percentage of median hourly pay of non-disabled employees.","Annual Population Survey",NA,"N/A",NA,NA,"Percentage","%","None","N",0,"None","16-64","All","Survey years","2014 to 2019","Single year","Annual","Scotland","None",NA,"[Labour Market Statistics for Scotland by Disability: January to December 2022](https://www.gov.scot/publications/labour-market-statistics-for-scotland-by-disability-january-to-december-2022/pages/disability-pay-gap/)",NA,"Feb-2025","TBC","Higher numbers are worse","L","Labour Market Statistics for Scotland by Disability",1,"CWB-Discrimination and racism",NA,NA,NA,"N","CWB-Discrimination and racism;",NA
"Perinatal mortality","Care & wellbeing","Early years","Perinatal Mortality Rate per 1,000 births (live and still) ","National Records of Scotland (NRS)",NA,"N/A","Number of stillbirths and infant deaths in the first week of life","Total number of births in the year","Crude","cr","None","N",0,"None","Under 1","All","Calendar year","2002 - 2024","Single year","Annual","Scotland","None",NA,"National Records of Scotland publish annual mortality figures, including perinatal mortality in their [vital events reference tables](https://www.nrscotland.gov.uk/publications/vital-events-reference-tables-2023)",NA,"Aug-2025","Sep-2026","Higher numbers are worse","L","National Records of Scotland",1,"CWB-Early years",NA,NA,NA,"N","CWB-Early years;","[stillbirth, neonatal and infant deaths, and maternal deaths section](https://www.scotpho.org.uk/population-dynamics/pregnancy-births-and-maternity/data/pregnancy-outcomes-stillbirth-neonatal-and-infant-deaths-and-maternal-deaths/)"
"Households living in fuel poverty","Care & wellbeing","Living Standards","Percentage of households estimated to be living in fuel poverty as defined in the Fuel Poverty (Targets, Definition and Strategy) (Scotland) Act","Scottish House Conditions Survey (SHCS)",NA,"N/A",NA,NA,"Percentage","%","None","N",0,"None","All","All","Survey years","2012-14 to 2017-19","Aggregate years","Annual","Scotland, Council area",NA,"A household is considered to be in fuel poverty if, in order to maintain a satisfactory heating regime:

the total fuel costs necessary for the home are more than 10% of the household’s adjusted net income (after housing costs), and
if after deducting fuel costs, benefits received for a care need or disability and childcare costs, the household’s remaining adjusted net income is insufficient to maintain an acceptable standard of living. The remaining adjusted net income must be at least 90% of the UK Minimum Income Standard to be considered an acceptable standard of living, with an additional amount added for households in remote rural, remote small town and island areas.","[Scottish House Condition Survey: Local Authority Analysis 2017-2019](https://www.gov.scot/publications/scottish-house-condition-survey-local-authority-analysis-2017-2019/documents/)",NA,"Feb-2025","TBC","Higher numbers are worse","L","Scottish House Condition Survey (SHCS)",NA,NA,NA,NA,NA,"N","CWB-Living standards;",NA
"Recorded Crime","Health & wellbeing","Crime","Number of crimes and offences recorded by the police and crude rate per 10,000 population. Calculated using 2011-base population estimates.
","Scottish Government",NA,"N/A","Number of drink or drug driving offences including failure to provide a specimen recorded by the police ","Total population","Crude rate per 10,000 population","cr","None","N",0,"None","All","All","Financial year","2015/16 - 2024/25","Single year","Annual"," HSC, Council area, Health board, ADP, Scotland","Byar's approximation","These data were extracted from the Police Scotland data repository, called the Source for Evidence Based Policing (SEBP). Prior to 2020/21, the data were collected from the Scottish Operational and Management Information System (ScOMIS). The Scottish Government found [strong alignment](https://www.gov.scot/binaries/content/documents/govscot/publications/statistics/2024/06/recorded-crime-scotland-2023-24/documents/recorded-crime-scotland-2023-24/recorded-crime-scotland-2023-24/govscot%3Adocument/recorded-crime-scotland-2023-24.pdf#page=64) between the administrative systems. 
","[Recorded crime in Scotland statistics](https://www.gov.scot/collections/recorded-crime-in-scotland/)",NA,"Oct-2025","Oct-2026","Higher numbers are worse","L","Police Scotland - Source for Evidence-Based Policing",1,"HWB-Crime",NA,NA,NA,NA,"HWB-Crime;;","[Crime and violence section](https://www.scotpho.org.uk/wider-determinants/crime-and-violence/)"
